keyword;keyword_type;syntax_highlight_type
ATTR;Attribute;Keyword
ATTR;Option;Keyword
ATTRIBUTE-NAMES;Attribute;Keyword
AUDIT-CONTROL;Handle;Keyword
AUDIT-ENABLED;Function;Keyword
AUDIT-EVENT-CONTEXT;Attribute;Keyword
AUDIT-POLICY;Handle;Keyword
AUTHENTICATION-FAILED;Method;Keyword
AuthenticationAccess;Property;Keyword
AuthenticationFailed;Property;Keyword
AUTHORIZATION;Option;Keyword
AUTO-COMP;Attribute;Keyword
AUTO-COMP;Option;Keyword
AUTO-COMPLETION;Attribute;Keyword
AUTO-COMPLETION;Option;Keyword
AUTO-DELETE-XML;Attribute;Keyword
AUTO-DELETE;Attribute;Keyword
AUTO-END-KEY;Attribute;Keyword
AUTO-END-KEY;Option;Keyword
AUTO-ENDKEY;Option;Keyword
AUTO-GO;Attribute;Keyword
AUTO-GO;Option;Keyword
AUTO-IND;Attribute;Keyword
AUTO-INDENT;Attribute;Keyword
AUTO-RESIZE;Attribute;Keyword
AUTO-RET;Attribute;Keyword
AUTO-RET;Option;Keyword
AUTO-RETURN;Attribute;Keyword
AUTO-RETURN;Option;Keyword
AUTO-SYNCHRONIZE;Attribute;Keyword
AUTO-VALIDATE;Attribute;Keyword
AUTO-Z;Attribute;Keyword
AUTO-ZAP;Attribute;Keyword
AUTOMATIC;Statement;Statement
AutoSort;Property;Keyword
AutoSync;Property;Keyword
AutoUpdate;Property;Keyword
AVAIL;Attribute;Keyword
AVAIL;Function;Keyword
AVAILABLE-FORMATS;Attribute;Keyword
AVAILABLE;Attribute;Keyword
AVAILABLE;Function;Keyword
AVE;Option;Keyword
AVERAGE;Option;Keyword
AVG;Option;Keyword
BACK-TAB;Event;Keyword
BACK;Attribute;Keyword
BACK;Option;Keyword
BACKGROUND;Attribute;Keyword
BACKGROUND;Option;Keyword
BACKSPACE;Event;Keyword
BACKWARD;Option;Keyword
BACKWARDS;Option;Keyword
BandIndex;Property;Keyword
BASE-ADE;Attribute;Keyword
BASE-KEY;Option;Keyword
BASE;Option;Keyword
BASE64-DECODE;Function;Keyword
BASE64-ENCODE;Function;Keyword
BASIC-LOGGING;Attribute;Keyword
BATCH-MODE;Attribute;Keyword
BATCH-SIZE;Attribute;Keyword
BATCH;Attribute;Keyword
Batching;Property;Keyword
BEFORE-BUFFER;Attribute;Keyword
BEFORE-FILL;Event;Keyword
BEFORE-H;Option;Keyword
BEFORE-HIDE;Option;Keyword
BEFORE-ROW-FILL;Event;Keyword
BEFORE-ROWID;Attribute;Keyword
BEFORE-TABLE;Attribute;Keyword
BEFORE-TABLE;Option;Keyword
BEFORE;Option;Keyword
BEGIN-EVENT-GROUP;Method;Keyword
BEGINS;Operator;Operator
BELL;Event;Keyword
BELL;Statement;Statement
BETWEEN;Option;Keyword
BGC;Attribute;Keyword
BGC;Option;Keyword
BGCOLOR;Attribute;Keyword
BGCOLOR;Option;Keyword
BIG-ENDIAN;Option;Keyword
BINARY;Option;Keyword
BIND-WHERE;Option;Keyword
BIND;Option;Keyword
BLANK;Attribute;Keyword
BLANK;Option;Keyword
BLINK;Option;Keyword
BLOB;Type;Type
BLOCK-ITERATION-DISPLAY;Attribute;Keyword
BLOCK-LEV;Statement;Statement
BLOCK-LEVEL;Statement;Statement
BlockId;Property;Keyword
Boolean;Property;Keyword
BORDER-B;Attribute;Keyword
BORDER-BOTTOM-CHARS;Attribute;Keyword
BORDER-BOTTOM-P;Attribute;Keyword
BORDER-BOTTOM-PIXELS;Attribute;Keyword
BORDER-L;Attribute;Keyword
BORDER-LEFT-CHARS;Attribute;Keyword
BORDER-LEFT-P;Attribute;Keyword
BORDER-LEFT-PIXELS;Attribute;Keyword
BORDER-R;Attribute;Keyword
BORDER-RIGHT-CHARS;Attribute;Keyword
BORDER-RIGHT-P;Attribute;Keyword
BORDER-RIGHT-PIXELS;Attribute;Keyword
BORDER-T;Attribute;Keyword
BORDER-TOP-CHARS;Attribute;Keyword
BORDER-TOP-P;Attribute;Keyword
BORDER-TOP-PIXELS;Attribute;Keyword
BOX-SELECT;Attribute;Keyword
BOX-SELECTABLE;Attribute;Keyword
BOX;Attribute;Keyword
BOX;Function;Keyword
BPMDataTypeName;Property;Keyword
BREAK;Option;Keyword
BRIGHT;Option;Keyword
BROWSE-NAME;Preprocessor;Preprocessor
BROWSE;Option;Keyword
BROWSE;Statement;Statement
BUFFER-CHARS;Attribute;Keyword
BUFFER-CHARS;Option;Keyword
BUFFER-COMPARE;Method;Keyword
BUFFER-COMPARE;Statement;Statement
BUFFER-COPY;Method;Keyword
BUFFER-COPY;Statement;Statement
BUFFER-CREATE;Method;Keyword
BUFFER-DELETE;Method;Keyword
